country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Eritrea,ERI,Economic Fitness Metric,EF.EFM.OVRL.XD,0.068361,0.00037985,0.0077118,0.076633,0.036544,0.060721,0.13633,0.17252,0.24231,0.18764,0.10298,0.17043,0.029806,0.11275,0.16653,0.12455,0.00070156,0.0063311,0.00031611,2.15E-26,1.29E-10
Estonia,EST,Economic Fitness Metric,EF.EFM.OVRL.XD,1.2526,1.1198,1.0886,1.1795,1.0478,0.96635,1.1262,1.0712,1.1574,1.2548,1.3897,1.4404,1.5946,1.7117,1.5513,1.775,1.6548,1.7593,2.0007,1.6495,1.680372107
Ethiopia,ETH,Economic Fitness Metric,EF.EFM.OVRL.XD,0.014415,0.0067597,0.0053632,0.014229,0.014369,0.036242,0.066529,0.082802,0.063508,0.10032,0.10787,0.10869,0.12712,0.13917,0.17287,0.18018,0.15055,0.13349,0.1201,0.090455,0.118188954
Finland,FIN,Economic Fitness Metric,EF.EFM.OVRL.XD,1.7605,1.8897,1.8691,1.7543,1.8077,1.5925,1.4518,1.6299,1.6274,1.6427,1.6171,1.5449,1.5808,1.5292,1.5523,1.6646,1.8267,1.7699,1.6784,1.6374,1.71024154
France,FRA,Economic Fitness Metric,EF.EFM.OVRL.XD,6.2065,6.1954,5.8483,5.5251,5.6473,5.3649,5.3179,5.3565,5.1786,5.3549,5.0247,5.0801,4.8344,4.9935,4.6909,4.6563,4.8582,4.8431,4.825,4.903,4.398229045
Gabon,GAB,Economic Fitness Metric,EF.EFM.OVRL.XD,1.38E-30,1.07E-11,9.74E-08,0.0014398,0.0031456,0.0011003,0.0044862,0.0075321,0.0018864,0.0007536,0.00029476,0.0013043,0.0012672,0.0022221,0.005853,1.36E-16,2.49E-50,4.42E-232,4.84E-52,4.09E-08,2.31E-06
"Gambia, The",GMB,Economic Fitness Metric,EF.EFM.OVRL.XD,0.093218,0.10831,0.22616,0.18719,0.11238,0.20126,0.17693,0.17414,0.26164,0.16614,0.15782,0.224,0.15979,0.17524,0.14588,0.12611,0.15635,0.07883,0.074669,0.081106,0.00456149
Georgia,GEO,Economic Fitness Metric,EF.EFM.OVRL.XD,0.26247,0.66938,0.61913,0.75976,0.58247,0.6959,0.66411,0.48388,0.51788,0.34121,0.32235,0.34296,0.2931,0.29796,0.27442,0.29332,0.33442,0.26283,0.21533,0.23529,0.276626491
Germany,DEU,Economic Fitness Metric,EF.EFM.OVRL.XD,10.273,9.1431,8.5065,7.8845,7.6533,7.334,6.9573,6.8231,7.0556,6.8969,6.7169,6.7228,6.6639,6.8499,6.1992,6.5361,6.5393,6.5548,7.1438,6.9211,6.669131935
Ghana,GHA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0164,0.037726,0.048677,0.073829,0.079639,0.071844,0.098295,0.068736,0.16596,0.07372,0.088577,0.076646,0.10168,0.098956,0.09282,0.084203,0.11676,0.059696,0.070074,0.046073,0.008657004
